Category,Message
spam,Congratulations! You won a million dollars click here to redeem.
ham,Congratulations! You're being hired for the AI/ML developer internship.
spam,Urgent: Your bank account is locked click here to check it.
ham,Urgent action required for your internship process. Act fast.
spam,You've won a 1 crore lottery. Click here to get the money.
ham,Are you coming for coffee at 5pm?
spam, WINNER! Claim your free gift card now by clicking here!
ham, You've won the competition. Gift and cetificate details will be send soon by mail. 
spam, Submit your bank details here for free money!
ham, Submit your report and assignment by EOD?